YearID	gridcode	Shape_Leng	Shape_Area	year
2001_224	1	27561.76	15927573.1	2001
2001_225	1	9555.76	2277721.42	2001
2001_226	1	9458.76	3639259.29	2001
2001_227	1	12181.59	5680888.38	2001
2001_228	1	15203.96	5470214.97	2001
2001_229	1	344557.56	330720388.8	2001
2001_230	1	30643.47	14780381.51	2001
2001_231	1	29326.91	18363509.81	2001
2001_232	1	8548.81	2956809.39	2001
2001_233	1	8467.75	2507446.02	2001
2001_234	1	14176.71	6131815.65	2001
2001_235	1	16305.7	6389822.51	2001
2001_236	1	303235.51	269880607.2	2001
2001_237	1	21102.29	9783639.07	2001
2001_238	1	18098.39	11145476.49	2001
2001_239	1	15119.38	6387128.15	2001
2001_240	1	9452.67	4089328.37	2001
2001_241	1	20740.67	6599086.24	2001
2001_242	1	28604.45	12780084.62	2001
2001_243	1	24792.59	12337567.11	2001
2001_244	1	15364.87	5910086.45	2001
2001_245	1	10448.74	3859388.59	2001
2001_246	1	19079.22	5220879.08	2001
2001_247	1	14180.75	4772133.82	2001
2001_248	1	21201.63	11157370.4	2001
2001_249	1	18938.22	8662726.41	2001
2001_250	1	9439.32	2718710.03	2001
2001_251	1	9545.25	3636114.21	2001
2001_252	1	26666.05	10021987.89	2001
2001_253	1	6553.18	2278229.89	2001
2001_254	1	8435.14	2715516.58	2001
2001_255	1	42902.21	16585311.29	2001
2001_256	1	8557.86	2507286.99	2001
2001_257	1	121207.25	99813888.81	2001
2001_258	1	10382.9	2737499	2001
2001_259	1	9544.65	3408403.4	2001
2001_260	1	31415.14	20066170.5	2001
2001_261	1	8634.9	2498984.84	2001
2001_262	1	118535.37	63689128.27	2001
2001_263	1	14373.74	7055217.93	2001
2001_264	1	7617.49	2487523.41	2001
2001_265	1	8642.87	2731212.29	2001
2001_266	1	30406.05	24014130.09	2001
2001_267	1	13364.07	4772935.51	2001
2001_268	1	19136.64	7463506.39	2001
2001_269	1	19865.83	6622827.58	2001
2001_270	1	11375.77	3872169.35	2001
2001_271	1	38824.88	17279596.5	2001
2001_272	1	24905.62	8405898.5	2001
2001_273	1	10544.53	3408050.44	2001
2001_274	1	8542.92	2498672.47	2001
2001_275	1	8539.35	3177518.85	2001
2001_276	1	13364.61	5000484.69	2001
2001_277	1	9454.59	3864346.41	2001
2001_278	1	8645.86	3188390.28	2001
2001_279	1	31198.42	15700704.35	2001
2001_280	1	11366.47	4320969.04	2001
2001_281	1	10373.51	3644141.98	2001
2001_282	1	59930.46	27352287.85	2001
2001_283	1	87612.16	76686779.31	2001
2001_284	1	17844.19	7524666.69	2001
2001_285	1	31248.24	14525364.79	2001
2001_286	1	21085.56	9084613.38	2001
2001_287	1	45187.39	15691191.23	2001
2001_288	1	19143.83	9731332.94	2001
2001_289	1	15168.24	5218463.48	2001
2001_290	1	16040.92	6325964.42	2001
2001_291	1	10357.82	2952244.8	2001
2001_292	1	39795.77	14825869.21	2001
2001_293	1	10467.55	3189923.58	2001
2001_294	1	17031.86	6388413.34	2001
2001_295	1	72096.63	59333243.68	2001
2001_296	1	12378.58	3645292.63	2001
2001_297	1	92608.27	51116865.49	2001
2001_298	1	9445.93	2496296.58	2001
2001_299	1	11614.74	2941055.9	2001
2001_300	1	95804.35	42481366	2001
2001_301	1	9464.13	2961421.03	2001
2001_302	1	16172.56	6129361.64	2001
2001_303	1	11472.74	3647686.82	2001
2001_304	1	24609.38	10433991.42	2001
2001_305	1	68272.73	41374045.65	2001
2001_306	1	7722.57	2495375.03	2001
2001_307	1	13362.45	6134793.83	2001
2001_308	1	15094.53	5231780.01	2001
2001_309	1	6616.78	2259873.19	2001
2001_310	1	14533.74	5894625.29	2001
2001_311	1	10535.47	3628341.75	2001
2001_312	1	18111.8	5922819.34	2001
2001_313	1	28591.69	17328696.46	2001
2001_314	1	16235.59	7011472.85	2001
2001_315	1	60708.81	28027838.37	2001
2001_316	1	7705.85	2483991.16	2001
2001_317	1	12110.01	3651143.81	2001
2001_318	1	10165.01	3403372.38	2001
2001_319	1	7639.26	2501620.86	2001
2001_320	1	13360.35	5451251.4	2001
2001_321	1	75554.61	42877938.5	2001
2001_322	1	20844.59	6837321.31	2001
2001_323	1	14318.76	6095987.73	2001
