src_YearID	nbr_YearID
2001_351	2001_1483
2001_352	2001_1483
2001_353	2001_1219
2001_353	2001_1483
2001_354	2001_1483
2001_355	2001_1483
2001_356	2001_1483
2001_357	2001_1483
2001_358	2001_1228
2001_358	2001_1237
2001_358	2001_1483
2001_359	2001_1483
2001_360	2001_1483
2001_361	2001_1483
2001_361	2001_2008
2001_362	2001_1483
2001_363	2001_1483
2001_364	2001_1483
2001_365	2001_1252
2001_365	2001_1483
2001_366	2001_1483
2001_367	2001_1483
2001_368	2001_1483
2001_369	2001_1483
2001_370	2001_1483
2001_371	2001_1483
2001_372	2001_1262
2001_373	2001_2013
2001_374	2001_1483
2001_375	2001_1483
2001_376	2001_1250
2001_376	2001_1483
2001_376	2001_2021
2001_377	2001_1483
2001_378	2001_1483
2001_379	2001_1483
2001_380	2001_1483
2001_381	2001_1483
2001_382	2001_1483
2001_383	2001_1483
2001_384	2001_1260
2001_385	2001_1483
2001_386	2001_1204
2001_386	2001_1207
2001_386	2001_1211
2001_386	2001_1213
2001_386	2001_1216
2001_386	2001_1218
2001_386	2001_1229
2001_386	2001_1235
2001_386	2001_1244
2001_386	2001_1246
2001_386	2001_1248
2001_386	2001_1483
2001_387	2001_1483
2001_388	2001_1483
2001_389	2001_1483
2001_390	2001_1483
2001_391	2001_1483
2001_392	2001_1180
2001_392	2001_1182
2001_392	2001_1183
2001_392	2001_1190
2001_392	2001_1193
2001_392	2001_1208
2001_392	2001_1223
2001_392	2001_1233
2001_392	2001_1247
2001_392	2001_1251
2001_392	2001_1483
2001_393	2001_1281
2001_393	2001_1483
2001_394	2001_1483
2001_395	2001_1483
2001_396	2001_1483
2001_397	2001_1483
2001_398	2001_1483
2001_399	2001_1264
2001_399	2001_1483
2001_400	2001_1483
2001_401	2001_1483
2001_402	2001_1264
2001_402	2001_1483
2001_403	2001_1483
2001_404	2001_1281
2001_404	2001_1483
2001_405	2001_1273
2001_406	2001_1483
2001_407	2001_1483
2001_408	2001_1266
2001_408	2001_1483
2001_409	2001_1483
2001_410	2001_1483
2001_411	2001_1483
2001_412	2001_1252
2001_412	2001_1483
2001_413	2001_1483
2001_414	2001_1483
2001_415	2001_1483
2001_416	2001_1483
2001_417	2001_1483
2001_418	2001_1483
2001_419	2001_1259
2001_419	2001_1263
2001_419	2001_1267
2001_419	2001_1483
2001_420	2001_1483
2001_421	2001_1483
2001_422	2001_1483
2001_423	2001_1483
2001_424	2001_1483
2001_425	2001_1483
2001_426	2001_1483
2001_427	2001_1483
2001_428	2001_1483
2001_429	2001_1483
2001_430	2001_1483
2001_431	2001_1410
2001_432	2001_1241
2001_432	2001_1262
2001_432	2001_1271
2001_432	2001_1483
2001_433	2001_1483
2001_434	2001_1483
2001_435	2001_1483
2001_435	2001_1731
2001_436	2001_1410
2001_437	2001_1483
2001_438	2001_1483
2001_439	2001_1483
2001_440	2001_1483
2001_441	2001_1483
2001_442	2001_1410
2001_443	2001_1483
2001_444	2001_1483
2001_445	2001_1483
2001_446	2001_1483
2001_447	2001_1483
2001_448	2001_1483
2001_449	2001_1483
2001_450	2001_1483
2001_451	2001_1483
2001_452	2001_1483
2001_453	2001_1410
2001_454	2001_1286
2001_454	2001_1483
2001_455	2001_1483
2001_456	2001_1483
2001_457	2001_1483
2001_458	2001_1483
2001_459	2001_1483
2001_460	2001_1483
2001_461	2001_1483
2001_462	2001_1483
2001_463	2001_1410
2001_464	2001_1483
2001_465	2001_1483
2001_466	2001_1483
2001_467	2001_1483
2001_467	2001_2036
2001_468	2001_1483
2001_469	2001_1410
2001_470	2001_1483
2001_471	2001_1483
2001_472	2001_1483
2001_473	2001_1483
2001_474	2001_1265
2001_474	2001_1268
2001_474	2001_1269
2001_474	2001_1274
2001_474	2001_1277
2001_474	2001_1280
2001_474	2001_1287
2001_474	2001_1290
2001_474	2001_1292
2001_474	2001_1294
2001_474	2001_1483
2001_475	2001_1483
2001_476	2001_1483
2001_477	2001_1483
2001_478	2001_1410
2001_479	2001_1410
2001_480	2001_1308
2001_480	2001_1483
2001_481	2001_1483
2001_482	2001_1410
2001_483	2001_1483
2001_484	2001_1483
2001_485	2001_1483
2001_486	2001_1410
2001_487	2001_1305
2001_487	2001_1483
2001_488	2001_1483
2001_489	2001_1483
2001_490	2001_1410
2001_491	2001_1483
2001_492	2001_1158
2001_492	2001_1164
2001_492	2001_1173
2001_492	2001_1174
2001_492	2001_1194
2001_492	2001_1198
2001_492	2001_1201
2001_492	2001_1217
2001_492	2001_1226
2001_492	2001_1260
2001_492	2001_1276
2001_492	2001_1304
2001_492	2001_1410
2001_492	2001_1483
2001_493	2001_1308
2001_493	2001_1483
2001_493	2001_2048
2001_494	2001_1483
2001_495	2001_1483
2001_496	2001_1288
2001_496	2001_1291
2001_496	2001_1293
2001_496	2001_1483
2001_497	2001_1483
2001_498	2001_1483
2001_499	2001_1483
2001_500	2001_1483
2001_501	2001_1483
2001_502	2001_1483
2001_503	2001_1410
2001_504	2001_1483
2001_505	2001_1483
2001_506	2001_1483
2001_507	2001_1483
2001_508	2001_1483
2001_509	2001_1483
2001_510	2001_1483
2001_510	2001_2051
2001_511	2001_1483
2001_512	2001_1483
2001_513	2001_1483
2001_514	2001_1483
2001_515	2001_1483
2001_516	2001_1348
2001_517	2001_1483
2001_518	2001_1483
2001_519	2001_1483
2001_520	2001_1483
2001_521	2001_1410
2001_522	2001_1483
2001_523	2001_1323
2001_523	2001_1336
2001_523	2001_1483
2001_524	2001_1483
2001_525	2001_1483
2001_526	2001_1410
2001_527	2001_1483
2001_528	2001_1483
2001_529	2001_1483
2001_530	2001_1327
2001_530	2001_1410
2001_531	2001_1483
2001_532	2001_1483
2001_533	2001_1483
2001_534	2001_1483
2001_535	2001_1483
2001_536	2001_1483
2001_537	2001_1336
2001_538	2001_1483
2001_539	2001_1311
2001_539	2001_1313
2001_539	2001_1483
2001_540	2001_1410
2001_541	2001_1483
2001_542	2001_1483
2001_543	2001_1483
2001_544	2001_1410
2001_545	2001_1483
2001_546	2001_1483
2001_547	2001_1483
2001_548	2001_1483
2001_549	2001_1483
2001_550	2001_1410
2001_551	2001_1483
2001_552	2001_1483
2001_553	2001_1483
2001_554	2001_1338
2001_555	2001_1137
2001_555	2001_1138
2001_555	2001_1139
2001_555	2001_1143
2001_555	2001_1146
2001_555	2001_1150
2001_555	2001_1154
2001_555	2001_1160
2001_555	2001_1162
2001_555	2001_1167
2001_555	2001_1168
2001_555	2001_1169
2001_555	2001_1172
2001_555	2001_1175
2001_555	2001_1176
2001_555	2001_1177
2001_555	2001_1178
2001_555	2001_1179
2001_555	2001_1181
2001_555	2001_1186
2001_555	2001_1187
2001_555	2001_1191
2001_555	2001_1195
2001_555	2001_1196
2001_555	2001_1197
2001_555	2001_1199
2001_555	2001_1202
2001_555	2001_1205
2001_555	2001_1206
2001_555	2001_1209
2001_555	2001_1210
2001_555	2001_1214
2001_555	2001_1215
2001_555	2001_1222
2001_555	2001_1224
2001_555	2001_1225
2001_555	2001_1227
2001_555	2001_1230
2001_555	2001_1234
2001_555	2001_1238
2001_555	2001_1239
2001_555	2001_1243
2001_555	2001_1249
2001_555	2001_1253
2001_555	2001_1254
2001_555	2001_1255
2001_555	2001_1256
2001_555	2001_1257
2001_555	2001_1258
2001_555	2001_1261
2001_555	2001_1270
2001_555	2001_1272
2001_555	2001_1273
2001_555	2001_1275
2001_555	2001_1278
2001_555	2001_1281
2001_555	2001_1282
2001_555	2001_1283
2001_555	2001_1285
2001_555	2001_1295
2001_555	2001_1297
2001_555	2001_1298
2001_555	2001_1301
2001_555	2001_1302
2001_555	2001_1306
2001_555	2001_1307
2001_555	2001_1309
2001_555	2001_1310
2001_555	2001_1312
2001_555	2001_1314
2001_555	2001_1318
2001_555	2001_1319
2001_555	2001_1320
2001_555	2001_1321
2001_555	2001_1326
2001_555	2001_1330
2001_555	2001_1336
2001_555	2001_1342
2001_555	2001_1348
2001_555	2001_1410
2001_555	2001_1483
2001_555	2001_1741
2001_555	2001_1745
2001_555	2001_1797
2001_555	2001_1798
2001_555	2001_1943
2001_555	2001_2056
2001_556	2001_1483
2001_557	2001_1483
2001_558	2001_1483
2001_559	2001_1342
2001_559	2001_1410
2001_559	2001_1740
2001_560	2001_1483
2001_561	2001_1483
2001_562	2001_1410
2001_563	2001_1483
2001_564	2001_1410
2001_565	2001_1483
2001_566	2001_1483
2001_567	2001_1342
2001_567	2001_1410
2001_568	2001_1410
2001_569	2001_1483
2001_570	2001_1348
2001_571	2001_1410
2001_572	2001_1483
2001_573	2001_1483
2001_574	2001_1483
2001_575	2001_1483
2001_576	2001_1317
2001_576	2001_1331
2001_576	2001_1334
2001_576	2001_1483
2001_577	2001_1483
2001_578	2001_1483
2001_579	2001_1483
2001_580	2001_1483
2001_581	2001_1483
2001_582	2001_1483
2001_583	2001_1483
2001_584	2001_1483
2001_585	2001_1483
2001_586	2001_1483
2001_587	2001_1332
2001_587	2001_1333
2001_587	2001_1337
2001_587	2001_1483
2001_588	2001_1483
2001_589	2001_1483
2001_590	2001_1483
2001_591	2001_1483
2001_592	2001_1483
2001_593	2001_1483
2001_594	2001_1483
2001_595	2001_1483
2001_596	2001_1483
2001_597	2001_1483
2001_598	2001_1483
2001_599	2001_1483
2001_600	2001_1483
2001_601	2001_1483
2001_602	2001_1483
2001_603	2001_1483
2001_604	2001_1483
2001_605	2001_1483
2001_606	2001_1410
2001_607	2001_1483
2001_608	2001_1483
2001_609	2001_1483
2001_610	2001_1410
2001_611	2001_1483
2001_612	2001_1483
2001_613	2001_1360
2001_613	2001_1483
2001_614	2001_1483
2001_615	2001_1483
2001_616	2001_1360
2001_616	2001_1483
2001_617	2001_1483
2001_618	2001_1483
2001_619	2001_1363
2001_620	2001_1483
2001_621	2001_1358
2001_621	2001_1360
2001_621	2001_1483
2001_622	2001_1344
2001_622	2001_1410
2001_623	2001_1410
2001_624	2001_1483
2001_625	2001_1483
2001_626	2001_1483
2001_627	2001_1483
2001_628	2001_1483
2001_629	2001_1483
2001_630	2001_1483
2001_631	2001_1483
2001_632	2001_1483
2001_633	2001_1410
2001_634	2001_1483
2001_635	2001_1483
2001_636	2001_1483
2001_637	2001_1483
2001_638	2001_1483
2001_639	2001_1483
2001_640	2001_1483
2001_641	2001_1483
2001_642	2001_1483
2001_643	2001_1483
2001_644	2001_1483
2001_645	2001_1483
2001_646	2001_1483
2001_647	2001_1483
2001_648	2001_1483
2001_649	2001_1483
2001_650	2001_1483
2001_651	2001_1483
2001_652	2001_1483
2001_653	2001_1410
2001_654	2001_1483
2001_655	2001_1483
2001_656	2001_1483
2001_657	2001_1483
2001_658	2001_1483
2001_659	2001_1410
2001_660	2001_1483
2001_661	2001_1483
2001_662	2001_1483
2001_663	2001_1483
2001_664	2001_1483
2001_665	2001_1483
2001_666	2001_1483
2001_667	2001_1410
2001_668	2001_1483
2001_669	2001_1483
2001_670	2001_1483
2001_670	2001_2083
2001_671	2001_1483
2001_672	2001_1483
2001_673	2001_1483
2001_674	2001_1483
2001_675	2001_1483
2001_676	2001_1483
2001_677	2001_1483
2001_678	2001_1431
2001_679	2001_1410
2001_680	2001_1483
2001_681	2001_1483
2001_682	2001_1483
2001_683	2001_1483
2001_684	2001_1410
2001_685	2001_1483
2001_686	2001_1483
2001_687	2001_1483
2001_688	2001_1483
2001_688	2001_2092
2001_689	2001_1483
2001_690	2001_1483
2001_691	2001_1356
2001_691	2001_1378
2001_691	2001_1483
2001_692	2001_1410
2001_693	2001_1410
2001_694	2001_1483
2001_695	2001_1483
2001_696	2001_1483
2001_697	2001_1483
2001_698	2001_1410
2001_699	2001_1483
2001_700	2001_1483
2001_701	2001_1483
2001_702	2001_1483
2001_703	2001_1483
2001_704	2001_1483
2001_705	2001_1483
2001_706	2001_1410
2001_707	2001_1483
2001_708	2001_1483
2001_709	2001_1483
2001_710	2001_1483
2001_711	2001_1410
2001_712	2001_1410
2001_713	2001_1394
2001_714	2001_1431
2001_715	2001_1483
2001_716	2001_1410
2001_717	2001_1483
2001_718	2001_1483
2001_719	2001_1483
2001_720	2001_1483
2001_721	2001_1410
2001_722	2001_1483
2001_723	2001_1483
2001_724	2001_1392
2001_724	2001_1819
2001_725	2001_1483
2001_726	2001_1483
2001_727	2001_1483
2001_728	2001_1483
2001_729	2001_1483
2001_730	2001_1483
2001_731	2001_1483
2001_732	2001_1483
2001_733	2001_1431
2001_734	2001_1483
2001_735	2001_1483
2001_736	2001_1483
2001_737	2001_1483
2001_738	2001_1483
2001_739	2001_1483
